Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,42.62,-130.6,90,top
C4,1u,C_0603_1608Metric,68.23,-99.13,-90,top
C5,100n,C_0603_1608Metric,66.7,-99.13,-90,top
C6,100n,C_0603_1608Metric,60.99,-90.4,90,top
C7,1u,C_0603_1608Metric,59.39,-90.38,90,top
C9,100n,C_0603_1608Metric,75.57,-102.67,180,top
D7,3.6V,D_SOD-523,57.61,-90.37,90,top
D8,3.6V,D_SOD-523,56.01,-90.38,90,top
D9,3.6V,D_SOD-523,54.37,-90.37,90,top
Q1,TPM2008P3,Diodes_DFN1006-3,66.825,-124.25,-90,top
Q2,TPM2008P3,Diodes_DFN1006-3,61.4,-124.25,-90,top
Q3,TPM2008P3,Diodes_DFN1006-3,64.125,-124.25,90,top
Q4,TPM2008P3,Diodes_DFN1006-3,68.1,-124.25,-90,top
Q5,TPM2008P3,Diodes_DFN1006-3,62.675,-124.25,-90,top
Q6,TPM2008P3,Diodes_DFN1006-3,65.4,-124.25,90,top
R1,470,R_0603_1608Metric,33.73,-93.14,-90,top
R2,470,R_0603_1608Metric,75.91,-116.96,0,top
R3,470,R_0603_1608Metric,33.73,-128.86,-90,top
R4,10k,R_0603_1608Metric,51.56,-89.86,180,top
R5,10k,R_0603_1608Metric,48.45,-89.86,180,top
R6,10k,R_0603_1608Metric,57.46,-97.01,-45,top
R7,220k,R_0402_1005Metric,66.25,-126.05,90,top
R8,220k,R_0402_1005Metric,62.25,-126.05,90,top
R9,470,R_0603_1608Metric,38.88,-111.03,180,top
R10,470,R_0603_1608Metric,34.39,-111.03,0,top
R11,5.1k,R_0402_1005Metric,65.25,-126.05,90,top
R12,5.1k,R_0402_1005Metric,61.25,-126.05,90,top
R13,47k,R_0603_1608Metric,42.26,-89.89,180,top
R14,5.6k,R_0603_1608Metric,45.36,-89.89,180,top
R15,47k,R_0603_1608Metric,42.26,-92.5,180,top
R16,5.6k,R_0603_1608Metric,45.35,-92.51,180,top
R17,47k,R_0603_1608Metric,75.385,-126.8,180,top
R18,5.6k,R_0603_1608Metric,75.375,-125.22,0,top
R19,1k,R_0603_1608Metric,72.65,-89.83,90,top
R20,220k,R_0402_1005Metric,67.25,-126.05,90,top
R21,220k,R_0402_1005Metric,63.25,-126.05,90,top
R22,5.1k,R_0402_1005Metric,63.79,-122.91,0,top
R23,100k,R_0603_1608Metric,75.58,-104.65,0,top
R24,5.1k,R_0402_1005Metric,68.25,-126.05,90,top
R25,5.1k,R_0402_1005Metric,64.25,-126.05,90,top
R26,5.1k,R_0402_1005Metric,65.74,-122.91,180,top
R27,220k,R_0402_1005Metric,61.75,-122.91,180,top
R28,220k,R_0402_1005Metric,67.74,-122.91,0,top
R29,220k,R_0603_1608Metric,48.445,-92.49,180,top
R30,220k,R_0603_1608Metric,51.58,-92.49,180,top
R31,220k,R_0603_1608Metric,75.43,-122.23,180,top
